sample_date,sample_time,sample_year,location_id,location,analyte,sample_fraction,result_unit,result_value,guideline_unit,guideline_threshold,guideline_direction,row_class,is_evaluated,is_pass,is_non_detect,is_censored_above
2022-10-25,10:15,2022,NS01DH0002,Salmon River at Murray,Boron,Dissolved,ug/l,,,,,wrong_fraction,0,,1,
2022-11-28,12:10,2022,NS01DH0002,Salmon River at Murray,Boron,Dissolved,ug/l,,,,,wrong_fraction,0,,1,
2023-05-03,13:00,2023,NS01DH0002,Salmon River at Murray,Boron,Dissolved,ug/l,,,,,wrong_fraction,0,,1,
2023-06-27,11:00,2023,NS01DH0002,Salmon River at Murray,Boron,Dissolved,ug/l,,,,,wrong_fraction,0,,1,
2023-09-07,15:30,2023,NS01DH0002,Salmon River at Murray,Boron,Dissolved,ug/l,,,,,wrong_fraction,0,,1,
2023-11-06,11:15,2023,NS01DH0002,Salmon River at Murray,Boron,Dissolved,ug/l,,,,,wrong_fraction,0,,1,
2024-04-16,14:45,2024,NS01DH0002,Salmon River at Murray,Boron,Dissolved,ug/l,,,,,wrong_fraction,0,,1,
2024-07-17,10:30,2024,NS01DH0002,Salmon River at Murray,Boron,Dissolved,ug/l,,,,,wrong_fraction,0,,1,
2024-09-17,12:40,2024,NS01DH0002,Salmon River at Murray,Boron,Dissolved,ug/l,,,,,wrong_fraction,0,,1,
2024-11-12,14:30,2024,NS01DH0002,Salmon River at Murray,Boron,Dissolved,ug/l,,,,,wrong_fraction,0,,1,
2019-06-24,12:45,2019,NS01DH0002,Salmon River at Murray,Boron,Total,ug/l,0.020000,mg/l,1.500,maximum,evaluated,1,1,1,0
2019-09-06,09:30,2019,NS01DH0002,Salmon River at Murray,Boron,Total,ug/l,0.020000,mg/l,1.500,maximum,evaluated,1,1,1,0
2019-10-21,10:25,2019,NS01DH0002,Salmon River at Murray,Boron,Total,ug/l,0.020000,mg/l,1.500,maximum,evaluated,1,1,1,0
2019-12-19,10:18,2019,NS01DH0002,Salmon River at Murray,Boron,Total,ug/l,0.020000,mg/l,1.500,maximum,evaluated,1,1,1,0
2020-04-16,10:00,2020,NS01DH0002,Salmon River at Murray,Boron,Total,ug/l,0.050000,mg/l,1.500,maximum,evaluated,1,1,1,0
2020-07-13,12:50,2020,NS01DH0002,Salmon River at Murray,Boron,Total,ug/l,0.050000,mg/l,1.500,maximum,evaluated,1,1,1,0
2020-09-10,11:45,2020,NS01DH0002,Salmon River at Murray,Boron,Total,ug/l,0.020000,mg/l,1.500,maximum,evaluated,1,1,1,0
2020-11-18,13:15,2020,NS01DH0002,Salmon River at Murray,Boron,Total,ug/l,0.020000,mg/l,1.500,maximum,evaluated,1,1,1,0
2021-06-28,11:00,2021,NS01DH0002,Salmon River at Murray,Boron,Total,ug/l,0.020000,mg/l,1.500,maximum,evaluated,1,1,1,0
2021-08-24,10:30,2021,NS01DH0002,Salmon River at Murray,Boron,Total,ug/l,0.020000,mg/l,1.500,maximum,evaluated,1,1,1,0
2021-10-11,16:00,2021,NS01DH0002,Salmon River at Murray,Boron,Total,ug/l,0.020000,mg/l,1.500,maximum,evaluated,1,1,1,0
2021-12-13,15:30,2021,NS01DH0002,Salmon River at Murray,Boron,Total,ug/l,0.020000,mg/l,1.500,maximum,evaluated,1,1,1,0
2022-04-26,15:55,2022,NS01DH0002,Salmon River at Murray,Boron,Total,ug/l,0.020000,mg/l,1.500,maximum,evaluated,1,1,1,0
2022-08-10,10:05,2022,NS01DH0002,Salmon River at Murray,Boron,Total,ug/l,0.020000,mg/l,1.500,maximum,evaluated,1,1,1,0
2022-10-25,10:15,2022,NS01DH0002,Salmon River at Murray,Boron,Total,ug/l,0.020000,mg/l,1.500,maximum,evaluated,1,1,1,0
2022-11-28,12:10,2022,NS01DH0002,Salmon River at Murray,Boron,Total,ug/l,0.020000,mg/l,1.500,maximum,evaluated,1,1,1,0
2023-05-03,13:00,2023,NS01DH0002,Salmon River at Murray,Boron,Total,ug/l,0.020000,mg/l,1.500,maximum,evaluated,1,1,1,0
2023-06-27,11:00,2023,NS01DH0002,Salmon River at Murray,Boron,Total,ug/l,0.020000,mg/l,1.500,maximum,evaluated,1,1,1,0
2023-09-07,15:30,2023,NS01DH0002,Salmon River at Murray,Boron,Total,ug/l,0.020000,mg/l,1.500,maximum,evaluated,1,1,1,0
2023-11-06,11:15,2023,NS01DH0002,Salmon River at Murray,Boron,Total,ug/l,0.020000,mg/l,1.500,maximum,evaluated,1,1,1,0
2024-04-16,14:45,2024,NS01DH0002,Salmon River at Murray,Boron,Total,ug/l,0.020000,mg/l,1.500,maximum,evaluated,1,1,1,0
2024-07-17,10:30,2024,NS01DH0002,Salmon River at Murray,Boron,Total,ug/l,0.020000,mg/l,1.500,maximum,evaluated,1,1,1,0
2024-09-17,12:40,2024,NS01DH0002,Salmon River at Murray,Boron,Total,ug/l,0.020000,mg/l,1.500,maximum,evaluated,1,1,1,0
2024-11-12,14:30,2024,NS01DH0002,Salmon River at Murray,Boron,Total,ug/l,0.020000,mg/l,1.500,maximum,evaluated,1,1,1,0
2019-06-24,12:45,2019,NS01DH0002,Salmon River at Murray,Chloride,Dissolved,mg/l,8.300000,mg/l,120.000,maximum,evaluated,1,1,0,
2019-09-06,09:30,2019,NS01DH0002,Salmon River at Murray,Chloride,Dissolved,mg/l,27.800000,mg/l,120.000,maximum,evaluated,1,1,0,
2019-10-21,10:25,2019,NS01DH0002,Salmon River at Murray,Chloride,Dissolved,mg/l,10.200000,mg/l,120.000,maximum,evaluated,1,1,0,
2019-12-19,10:18,2019,NS01DH0002,Salmon River at Murray,Chloride,Dissolved,mg/l,7.700000,mg/l,120.000,maximum,evaluated,1,1,0,
2020-04-16,10:00,2020,NS01DH0002,Salmon River at Murray,Chloride,Dissolved,mg/l,6.700000,mg/l,120.000,maximum,evaluated,1,1,0,
2020-07-13,12:50,2020,NS01DH0002,Salmon River at Murray,Chloride,Dissolved,mg/l,16.000000,mg/l,120.000,maximum,evaluated,1,1,0,
2020-09-10,11:45,2020,NS01DH0002,Salmon River at Murray,Chloride,Dissolved,mg/l,40.200000,mg/l,120.000,maximum,evaluated,1,1,0,
2020-11-18,13:15,2020,NS01DH0002,Salmon River at Murray,Chloride,Dissolved,mg/l,11.300000,mg/l,120.000,maximum,evaluated,1,1,0,
